Author,variable,group_id,Layer,Temperature,mean,sd,n,se
Moni,ug C / g SOC * d,VKT3_DP_PF_OR_8C,Permafrost,8,88.008342,60.4487354,3,13.1909955
Moni,ug C / g SOC * d,VKT3_DP_PF_OR_12C,Permafrost,12,107.612096,73.4859939,3,16.0359585
Moni,ug C / g SOC * d,VKT3_DP_PF_OR_16C,Permafrost,16,123.46194,94.8300655,3,20.6936168
Moni,ug C / g SOC * d,VKT4_DP_PF_MN_4C,Permafrost,4,44.429882,37.7518835,3,8.23813637
Moni,ug C / g SOC * d,VKT4_DP_PF_MN_8C,Permafrost,8,59.3709043,46.8525511,3,10.2240648
Moni,ug C / g SOC * d,VKT4_DP_PF_12C,Permafrost,12,78.440367,56.6898989,3,12.3707501
Moni,ug C / g SOC * d,VKT4_DP_PF_MN_16C,Permafrost,16,87.8768021,68.8918223,3,15.0334281
Mackelprang,ppm CO2 / g wet soil,AL_D2_5C,Active_Layer,5,70.27027027,29.95979775,3,17.2972973
Mackelprang,ppm CO2 / g wet soil,AL_D7_5C,Active_Layer,5,135.1351351,33.70477247,3,19.45945946
Mackelprang,ppm CO2 / g wet soil,PF_D2_5C,Permafrost,5,29.18918919,11.23492416,3,6.486486486
Mackelprang,ppm CO2 / g wet soil,PF_D7_5C,Permafrost,5,47.56756757,14.97989888,3,8.648648649
Muller,ug CO2 / g Soil,An_PF5_C2_St24,Permafrost,4,3.883495146,1.345282181,3,0.776699029
Muller,ug CO2 / g Soil,Ae_PF5_C2_St24,Permafrost,4,18.6407767,1.345282181,3,0.776699029
Muller,ug CO2 / g Soil,An_PF5_C1_St24,Permafrost,4,12.81553398,0.67264109,3,0.388349515
Muller,ug CO2 / g Soil,Ae_PF5_C1_St24,Permafrost,4,15.53398058,0.67264109,3,0.388349515
Muller,ug CO2 / g Soil,An_PF4_C2_St24,Permafrost,4,7.378640777,4.708487632,3,2.718446602
Muller,ug CO2 / g Soil,Ae_PF4_C2_St24,Permafrost,4,19.41747573,5.381128723,3,3.106796117
Muller,ug CO2 / g Soil,An_PF4_C1_St24,Permafrost,4,9.708737864,1.345282181,3,0.776699029
Muller,ug CO2 / g Soil,Ae_PF4_C1_St24,Permafrost,4,12.81553398,2.690564361,3,1.553398058
Muller,ug CO2 / g Soil,An_AL2_C2_St24,Active_Layer,4,5.436893204,4.035846542,3,2.330097087
Muller,ug CO2 / g Soil,Ae_AL2_C2_St24,Active_Layer,4,7.766990291,4.035846542,3,2.330097087
